Organism,Agrobacterium_tumefaciens,Bordetella_bronchiseptica,Bordetella_parapertussis,Bordetella_pertussis,Bradyrhizobium_japonicum,Brucella_melitensis,Brucella_suis,Buchnera_aphidicola,Campylobacter_jejuni,Candidatus_Blochmannia,Caulobacter_crescentus,Chromobacterium_violaceum,Escherichia_coli,Haemophilus_influenzae,Helicobacter_hepaticus,Mesorhizobium_loti,Neisseria_meningitidis,Nitrosomonas_europaea,Pasteurella_multocida,Pseudomonas_aeruginosa,Pseudomonas_putida,Pseudomonas_syringae,Ralstonia_solanacearum,Salmonella_enterica,Shewanella_oneidensis,Shigella_flexneri,Sinorhizobium_meliloti,Vibrio_cholerae,Vibrio_parahaemolyticus,Vibrio_vulnificus,Wolinella_succinogenes,Xanthomonas_axonopodis,Xanthomonas_campestris,Xylella_fastidiosa,Yersinia_pestis
Pasteurella_multocida,3.0,4.0,4.0,5.5,3.5,4.5,4.5,6.5,4.5,5.0,5.0,3.0,2.0,4.0,4.5,4.0,5.0,3.5,0,2.0,2.0,2.0,3.5,2.0,2.0,2.0,4.5,2.0,2.0,2.0,4.5,3.0,3.0,3.5,2.5
Pseudomonas_aeruginosa,1.0,2.0,2.0,3.5,1.5,2.5,2.5,4.5,2.5,3.0,3.0,1.0,0.0,2.0,2.5,2.0,3.0,1.5,2.0,0,0.0,0.0,1.5,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.5,1.0,1.0,1.5,0.5
Pseudomonas_putida,1.0,2.0,2.0,3.5,1.5,2.5,2.5,4.5,2.5,3.0,3.0,1.0,0.0,2.0,2.5,2.0,3.0,1.5,2.0,0.0,0,0.0,1.5,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.5,1.0,1.0,1.5,0.5
Pseudomonas_syringae,1.0,2.0,2.0,3.5,1.5,2.5,2.5,4.5,2.5,3.0,3.0,1.0,0.0,2.0,2.5,2.0,3.0,1.5,2.0,0.0,0.0,0,1.5,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.5,1.0,1.0,1.5,0.5
Ralstonia_solanacearum,2.5,3.5,3.5,5.0,3.0,4.0,4.0,6.0,4.0,4.5,4.5,2.5,1.5,3.5,4.0,3.5,4.5,3.0,3.5,1.5,1.5,1.5,0,1.5,1.5,1.5,4.0,1.5,1.5,1.5,4.0,2.5,2.5,3.0,2.0
Salmonella_enterica,1.0,2.0,2.0,3.5,1.5,2.5,2.5,4.5,2.5,3.0,3.0,1.0,0.0,2.0,2.5,2.0,3.0,1.5,2.0,0.0,0.0,0.0,1.5,0,0.0,0.0,2.5,0.0,0.0,0.0,2.5,1.0,1.0,1.5,0.5
Shewanella_oneidensis,1.0,2.0,2.0,3.5,1.5,2.5,2.5,4.5,2.5,3.0,3.0,1.0,0.0,2.0,2.5,2.0,3.0,1.5,2.0,0.0,0.0,0.0,1.5,0.0,0,0.0,2.5,0.0,0.0,0.0,2.5,1.0,1.0,1.5,0.5
Shigella_flexneri,1.0,2.0,2.0,3.5,1.5,2.5,2.5,4.5,2.5,3.0,3.0,1.0,0.0,2.0,2.5,2.0,3.0,1.5,2.0,0.0,0.0,0.0,1.5,0.0,0.0,0,2.5,0.0,0.0,0.0,2.5,1.0,1.0,1.5,0.5
Sinorhizobium_meliloti,3.5,4.5,4.5,6.0,4.0,5.0,5.0,7.0,5.0,5.5,5.5,3.5,2.5,4.5,5.0,4.5,5.5,4.0,4.5,2.5,2.5,2.5,4.0,2.5,2.5,2.5,0,2.5,2.5,2.5,5.0,3.5,3.5,4.0,3.0
Vibrio_cholerae,1.0,2.0,2.0,3.5,1.5,2.5,2.5,4.5,2.5,3.0,3.0,1.0,0.0,2.0,2.5,2.0,3.0,1.5,2.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,2.5,0,0.0,0.0,2.5,1.0,1.0,1.5,0.5
Vibrio_parahaemolyticus,1.0,2.0,2.0,3.5,1.5,2.5,2.5,4.5,2.5,3.0,3.0,1.0,0.0,2.0,2.5,2.0,3.0,1.5,2.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,2.5,0.0,0,0.0,2.5,1.0,1.0,1.5,0.5
Vibrio_vulnificus,1.0,2.0,2.0,3.5,1.5,2.5,2.5,4.5,2.5,3.0,3.0,1.0,0.0,2.0,2.5,2.0,3.0,1.5,2.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,2.5,0.0,0.0,0,2.5,1.0,1.0,1.5,0.5
Wolinella_succinogenes,3.5,4.5,4.5,6.0,4.0,5.0,5.0,7.0,5.0,5.5,5.5,3.5,2.5,4.5,5.0,4.5,5.5,4.0,4.5,2.5,2.5,2.5,4.0,2.5,2.5,2.5,5.0,2.5,2.5,2.5,0,3.5,3.5,4.0,3.0
Xanthomonas_axonopodis,2.0,3.0,3.0,4.5,2.5,3.5,3.5,5.5,3.5,4.0,4.0,2.0,1.0,3.0,3.5,3.0,4.0,2.5,3.0,1.0,1.0,1.0,2.5,1.0,1.0,1.0,3.5,1.0,1.0,1.0,3.5,0,2.0,2.5,1.5
Xanthomonas_campestris,2.0,3.0,3.0,4.5,2.5,3.5,3.5,5.5,3.5,4.0,4.0,2.0,1.0,3.0,3.5,3.0,4.0,2.5,3.0,1.0,1.0,1.0,2.5,1.0,1.0,1.0,3.5,1.0,1.0,1.0,3.5,2.0,0,2.5,1.5
Xylella_fastidiosa,2.5,3.5,3.5,5.0,3.0,4.0,4.0,6.0,4.0,4.5,4.5,2.5,1.5,3.5,4.0,3.5,4.5,3.0,3.5,1.5,1.5,1.5,3.0,1.5,1.5,1.5,4.0,1.5,1.5,1.5,4.0,2.5,2.5,0,2.0
Yersinia_pestis,1.5,2.5,2.5,4.0,2.0,3.0,3.0,5.0,3.0,3.5,3.5,1.5,0.5,2.5,3.0,2.5,3.5,2.0,2.5,0.5,0.5,0.5,2.0,0.5,0.5,0.5,3.0,0.5,0.5,0.5,3.0,1.5,1.5,2.0,0
