Organism,Agrobacterium_tumefaciens,Bordetella_bronchiseptica,Bordetella_parapertussis,Bordetella_pertussis,Bradyrhizobium_japonicum,Brucella_melitensis,Brucella_suis,Buchnera_aphidicola,Candidatus_Blochmannia,Caulobacter_crescentus,Chromobacterium_violaceum,Escherichia_coli,Mesorhizobium_loti,Neisseria_meningitidis,Nitrosomonas_europaea,Pasteurella_multocida,Pseudomonas_aeruginosa,Pseudomonas_putida,Pseudomonas_syringae,Ralstonia_solanacearum,Salmonella_enterica,Shewanella_oneidensis,Shigella_flexneri,Sinorhizobium_meliloti,Vibrio_cholerae,Vibrio_parahaemolyticus,Vibrio_vulnificus,Xanthomonas_axonopodis,Xanthomonas_campestris,Xylella_fastidiosa,Yersinia_pestis
Shewanella_oneidensis,2.0,2.0,2.5,2.0,1.0,1.0,1.0,1.5,0.5,1.5,2.5,0.0,2.5,3.0,1.5,2.0,0.0,0.5,0.0,1.5,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
Shigella_flexneri,2.0,2.0,2.5,2.0,1.0,1.0,1.0,1.5,0.5,1.5,2.5,0.0,2.5,3.0,1.5,2.0,0.0,0.5,0.0,1.5,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
Sinorhizobium_meliloti,4.0,4.0,4.5,4.0,3.0,3.0,3.0,3.5,2.5,3.5,4.5,2.0,4.5,5.0,3.5,4.0,2.0,2.5,2.0,3.5,2.0,2.0,2.0,0,2.0,2.0,2.0,2.0,2.5,2.5,2.0
Vibrio_cholerae,2.0,2.0,2.5,2.0,1.0,1.0,1.0,1.5,0.5,1.5,2.5,0.0,2.5,3.0,1.5,2.0,0.0,0.5,0.0,1.5,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.5,0.5,0.0
Vibrio_parahaemolyticus,2.0,2.0,2.5,2.0,1.0,1.0,1.0,1.5,0.5,1.5,2.5,0.0,2.5,3.0,1.5,2.0,0.0,0.5,0.0,1.5,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.5,0.5,0.0
Vibrio_vulnificus,2.0,2.0,2.5,2.0,1.0,1.0,1.0,1.5,0.5,1.5,2.5,0.0,2.5,3.0,1.5,2.0,0.0,0.5,0.0,1.5,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0.5,0.5,0.0
Xanthomonas_axonopodis,2.0,2.0,2.5,2.0,1.0,1.0,1.0,1.5,0.5,1.5,2.5,0.0,2.5,3.0,1.5,2.0,0.0,0.5,0.0,1.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0.5,0.5,0.0
Xanthomonas_campestris,2.5,2.5,3.0,2.5,1.5,1.5,1.5,2.0,1.0,2.0,3.0,0.5,3.0,3.5,2.0,2.5,0.5,1.0,0.5,2.0,0.5,0.5,0.5,2.5,0.5,0.5,0.5,0.5,0,1.0,0.5
Xylella_fastidiosa,2.5,2.5,3.0,2.5,1.5,1.5,1.5,2.0,1.0,2.0,3.0,0.5,3.0,3.5,2.0,2.5,0.5,1.0,0.5,2.0,0.5,0.5,0.5,2.5,0.5,0.5,0.5,0.5,1.0,0,0.5
Yersinia_pestis,2.0,2.0,2.5,2.0,1.0,1.0,1.0,1.5,0.5,1.5,2.5,0.0,2.5,3.0,1.5,2.0,0.0,0.5,0.0,1.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.5,0.5,0
